l1,l2,alignment,wordform_l1,wordform_l2,neighbour_overlap,editdistance,k,n,Concept_ID,zipf_freq_l1,zipf_freq_l2,passes_concept_filter,passes_wiki_filter,pos_gloss,semantic_domain,nel_pos,global_semantic_density_l1,global_semantic_density_l2,local_semantic_density_l1,local_semantic_density_l2
en,av,-0.1595823081465337,rainbow,нур,27.0,7,100,395,Regenbogen::N,4.02,,True,False,Nouns,The physical world,N,0.1823096162827217,0.6928047860688072,72.01229843167509,273.65789049717887
en,av,-0.146577075087766,company,жамагӏат,13.0,8,100,395,Gesellschaft::N,5.53,,True,False,Nouns,Modern world,N,0.1685739385166674,0.6114691110959527,66.58670571408365,241.5302988829013
en,av,-0.1263808434471114,wind,гьури,27.0,5,100,395,Wind::N,4.86,,True,False,Nouns,The physical world,N,0.1855528741189801,0.7062743148792548,73.29338527699716,278.97835437730566
en,av,-0.1227975725229648,money,гӏарац,18.0,6,100,395,Geld::N,5.6,,True,False,Nouns,Animals,N,0.2206650140487906,0.5399930635348773,87.1626805492723,213.2972600962765
en,av,-0.1005703332734289,ware,къайи,15.0,5,100,395,Ware::N,3.49,,True,False,Nouns,Modern world,N,0.1568640480630922,0.7180867644169084,61.96129898492143,283.6442719446788
en,av,-0.0978654524326242,comb,гьоркьо,28.0,7,100,395,Kamm::N,3.49,,True,False,Nouns,Clothing and grooming,N,0.1795683761572802,0.6014720927727838,70.9295085821257,237.5814766452496
en,av,-0.0939526002177523,own,щвезе,44.0,5,100,395,besitzen::V,5.72,,True,False,Verbs,Possession,V,0.2287084539889225,0.6947782756179872,90.3398393256244,274.43741886910493
en,av,-0.0853819287302765,cross,хъанч,28.0,5,100,395,Kreuz::N,5.02,,True,False,Nouns,Spatial relations,N,0.1551890489285864,0.6757830306568889,61.29967432679163,266.9342971094711
en,av,-0.0853187177652733,man,бихьинчи,23.0,8,100,395,Mann::N,5.84,,True,False,Nouns,Kinship,N,0.2323347705407586,0.6435410422209494,91.77223436359968,254.198711677275
en,av,-0.0810117263770807,tomorrow,метер,25.0,8,100,395,morgen::ADV,5.03,,True,False,Adverbs,Time,ADV,0.2242019845121614,0.6706999597806772,88.55978388230378,264.9264841133675
en,av,-0.080501426825004,conclusion,ахир,33.0,10,100,395,Schluss::N,4.47,,True,False,Nouns,Time,N,0.2044704526487793,0.7336132726525333,80.76582879626784,289.77724269775064
en,av,-0.0789080396526111,stick,тӏил,40.0,5,100,395,Stock::N,4.71,,True,False,Nouns,The physical world,N,0.2254999341714247,0.7198016938844722,89.07247399771276,284.3216690843665
en,av,-0.0766383884326287,fox,цер,30.0,3,100,395,Fuchs::N,4.6,,True,False,Nouns,Animals,N,0.1759362928182161,0.7244450609618275,69.49483566319537,286.1557990799218
en,av,-0.0752899871865779,revolve,сверизе,28.0,7,100,395,sich drehen::V,3.22,,True,False,Verbs,Motion,V,0.190871600526387,0.5333575093902453,75.39428220792288,210.67621620914693
en,av,-0.0750157992460026,rain,базе,27.0,4,100,395,regnen::V,4.71,,True,False,Verbs,The physical world,V,0.2072163384022664,0.6780550211011203,81.85045366889524,267.8317333349425
en,av,-0.0743889132890753,old,басрияб,29.0,7,100,395,alt::A,5.75,,True,False,Adjectives,Time,A,0.202679211869329,0.6718811808262376,80.05828868838495,265.393066426364
en,av,-0.0741767805015909,brook,лъар,29.0,5,100,395,Bach::N,3.68,,True,False,Nouns,The physical world,N,0.1634079015346959,0.6337838581012486,64.54612110620488,250.3446239499932
en,av,-0.0708967715864077,fat,кьарияб,25.0,7,100,395,fett::A,4.84,,True,False,Adjectives,Spatial relations,A,0.1929342917653764,0.6806987070264916,76.2090452473237,268.8759892754642
en,av,-0.0675568964210122,or,ялъуни,24.0,6,100,395,oder::CNJ,6.54,,True,False,Conjuctions,Cognition,CNJ,0.2020392271897393,0.6266509135464142,79.80549473994701,247.5271108508336
en,av,-0.0658628563153751,damage,зиян,30.0,6,100,395,Schaden::N,4.89,,True,False,Nouns,Modern world,N,0.18342558213914,0.762168818452035,72.4531049449603,301.0566832885538
en,av,-0.0614250103006016,mush,карщ,31.0,4,100,395,Brei::N,3.02,,True,False,Nouns,The physical world,N,0.1728220934200382,0.4938163819928602,68.2647269009151,195.05747088717976
en,av,-0.057664135812052,today,жакъа,23.0,5,100,395,heute::ADV,5.54,,True,False,Adverbs,Time,ADV,0.198803909628649,0.7147871331328559,78.52754430331638,282.34091758747815
en,av,-0.0425096263166029,root,кьибил,20.0,6,100,395,Wurzel::N,4.42,,True,False,Nouns,Agriculture and vegetation,N,0.1458851172363941,0.7706454585090016,57.62462130837567,304.40495611105564
en,av,-0.0404228939915067,who,щиб,35.0,3,100,395,wer::FPRN,6.35,,True,False,Wh Words: How?; Why?; Where?; What?; Who?,Cognition,FPRN,0.2298066494843856,0.7154045059945479,90.77362654633232,282.58477986784646
en,av,-0.0399340055396812,foreign,чияр,29.0,7,100,395,fremd::A,5.14,,True,False,Adjectives,Cognition,A,0.1533476764930326,0.6987835986258649,60.57233221474789,276.0195214572166
en,av,-0.0309272253209756,snake,борохь,25.0,6,100,395,Schlange[Tier]::N,4.19,,True,False,Nouns,Animals,N,0.1962639445299257,0.6277126575773214,77.52425808932065,247.94649974304195
en,av,-0.0282223031909415,king,пача,28.0,4,100,395,König::N,5.21,,True,False,Nouns,Social and political relations,N,0.187979647501284,0.4334316636658531,74.25196076300715,171.20550714801198
en,av,-0.0269807470259458,woman,гӏадан,28.0,6,100,395,Frau::N,5.32,,True,False,Nouns,Kinship,N,0.2253117033626156,0.6489925656514746,88.99812282823316,256.35206343233244
en,av,-0.0268934366860035,now,гьанже,31.0,6,100,395,jetzt::ADV,6.18,,True,False,Adverbs,Time,ADV,0.2209615641496445,0.7033583649507136,87.27981783910955,277.82655415553194
en,av,-0.0242975937325749,do,гьабизе,59.0,7,100,395,tun::V,6.37,,True,False,Verbs,Basic actions and technology,V,0.2061016243772445,0.614438858301646,81.41014162901158,242.70334902915016
en,av,-0.0234314770762506,age,гӏумру,22.0,6,100,395,Alter::N,5.33,,True,False,Nouns,Time,N,0.1640626345194752,0.7247428794394881,64.80474063519273,286.2734373785978
en,av,-0.0212301178380247,force,къуват,40.0,6,100,395,Kraft::N,5.28,,True,False,Nouns,The body,N,0.1733741487830042,0.6338692343250255,68.48278876928667,250.3783475583851
en,av,-0.0211191825359926,side,рахъ,40.0,4,100,395,Seite::N,5.49,,True,False,Nouns,Spatial relations,N,0.20855233274658,0.5026341647339589,82.37817143489912,198.54049506991385
en,av,-0.0207517486064594,milk,рахь,37.0,4,100,395,Milch::N,4.66,,True,False,Nouns,Food and drink,N,0.2019871714838403,0.6579957934518902,79.78493273611693,259.9083384134966
en,av,-0.0207193452871304,other,батӏияб,31.0,7,100,395,anderer::A,6.18,,True,False,Adjectives,Miscellaneous function words,A,0.2407851066582166,0.7046353835856389,95.11011712999556,278.3309765163274
en,av,-0.0139400782876676,character,хӏарп,31.0,9,100,395,Buchstabe::N,5.1,,True,False,Nouns,Speech and language,N,0.1883001270880364,0.6531182631280654,74.37855019977438,257.98171393558584
